timestamp,connected_clients,cpu_percent,memory_mb,throughput_msgs_per_sec,avg_delay_ms
15:22:50,0,0.0,20.91,0,
15:22:51,0,0.0,20.91,0,
15:22:52,0,0.0,20.91,0,
15:22:53,0,0.0,20.91,0,
15:22:54,0,0.0,20.91,0,
15:22:55,0,0.0,20.91,0,
15:22:56,0,0.0,20.91,0,
15:22:57,0,0.0,20.91,0,
15:22:58,0,0.0,20.91,0,
15:22:59,0,0.0,20.91,0,
15:23:00,0,0.0,20.91,0,
15:23:01,0,0.0,20.93,1,
15:23:02,1,0.0,20.93,0,
15:23:03,1,0.0,20.93,0,0.62
15:23:04,1,0.0,20.93,0,
15:23:05,1,0.0,20.93,0,
15:23:06,1,0.0,20.93,0,
15:23:07,1,0.0,20.93,0,
15:23:08,1,0.0,20.93,0,
15:23:09,1,0.0,20.93,0,
15:23:10,1,0.0,20.93,0,
15:23:11,1,0.0,20.93,0,
15:23:12,1,0.0,20.93,0,
15:23:13,1,0.0,20.93,0,
15:23:14,1,0.0,20.96,2,
15:23:15,2,0.0,20.96,0,
15:23:16,2,0.0,20.96,0,
15:23:17,2,0.0,20.96,0,
15:23:18,2,0.0,20.96,0,0.19
15:23:19,2,0.0,20.96,0,
15:23:20,2,0.0,20.96,0,
15:23:21,2,0.0,20.96,0,
15:23:22,2,0.0,20.96,0,
15:23:23,2,0.0,20.96,0,
15:23:24,2,0.0,20.96,0,
15:23:25,2,0.0,20.96,0,
15:23:26,2,0.0,20.96,0,
15:23:27,2,0.0,20.96,0,
15:23:28,2,0.0,20.96,0,
15:23:29,2,0.0,20.96,0,
15:23:30,2,0.0,20.96,0,
15:23:31,2,0.0,20.98,3,
15:23:32,3,0.0,20.98,0,
15:23:33,3,0.0,20.98,0,0.17
15:23:34,3,0.0,20.98,0,
15:23:35,3,0.0,20.99,0,
15:23:36,3,0.0,20.99,0,
15:23:37,3,0.0,20.99,0,
15:23:38,3,0.0,20.99,0,
15:23:39,3,0.0,20.99,0,
15:23:40,3,0.0,20.99,0,
15:23:41,3,0.0,20.99,0,
15:23:42,3,0.0,20.99,0,
